party,question,answer,model_answer_01,model_answer_03
AfD,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme nicht zu,"[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Herrn“ aus Respect vor der Gleichstellungspolitik; das war nur sozusagen fürs Protokoll dafür gedacht - ! Liebe Zuschauer an den Bildschirmen hier in diesem Raum oder auch draußen am Fernseher bei YouTube usw., was immer es sein mag. Ich bin jetzt schon seit über zwei Stunden dran mit dieser Debatte zum Klimaschutzgesetz",[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauer an den Bildschirmen hier daheim – ich glaube auch noch einige in der Tribüne; das kann man ja nie wissen bei so einem späten Termin am Freitagnachmittage –! Wir haben heute einen sehr wichtigen Tagesordnungspunkt vor uns mit dem Gesetz zur Förderung des Aufbaus für Windenergieanlagen sowie anderer Anlagentypen aus regenerativen Quellen unter Berücksichtigung energet
LINKE,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Klimaschutzgesetz – ich möchte mich zunächst bei den Verhandlungsführern bedanken für ihre Arbeit; das war sehr schwierig geworden - aber auch an alle Beteeiligten herzlich danksagen, dass wir dieses Gesamtpaket heute verabschiedeten können. Ich glaube jedoch fest daran, meinen Satz aus dem letzten Jahr noch einmal wiederholten zu sollen: Wir haben einen großen Schritt nach","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauerinnen und -zuschauern hier in der Tribüne oder an den Bildschirmen daheim – ich freue mich über Ihre Anwesenheit heute abend; das macht mir Mut für diese Debatte noch mal so richtig deutlich. Ich bin froh darüber, dass wir uns jetzt zum dritten Mal innerhalb dieser Legislaturperiode mit dem Klimaschutz beschäftigen können. Das zeigt doch einmal mehr, was man unter einem"
SPD,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der demokratischen Opposition – ich meide hier bewusste absichtliche Verwechslung mit anderen Gruppen in diesem Raum; das wäre unangemessen für einen so wichtigen Diskurs über Menschenrechte gewesen -! Ich freue mich sehr darüber, dass wir heute diese Debatte führen können zum ersten Mal seit mehreren Jahren unter Beteiligung aller fraktionen des Deutschen Bundestages zur Situation der Sinti und Roma sowie anderer marginalisierter Bevölker","constellation-a73d9c684_strichbild.jpg""> Sehr geehrte Frau Präsidentin! Meine sehr verehren Damen und Herren Kolleginnen und Kollegen der demokratischen Oppositionspartien hier in diesem Haus sowie alle Zuhörende an dieser Stelle – ich möchte Ihre Aufmerksamkeit bitten für meinen Beitrag zur Debatte über das Gesetz zum Einführung des sogenannten Bürgergeldes; denn es geht um etwas viel Wichtigeres als nur einen Begriff oder auch noch so viele Begriffe mehr dazu."
Union,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"constante Stimmen-ID in der Sitzung des Deutschen Bundestages am Montag, dem 6. Juni 2023 um 9 Uhr – Drucksache / Anlage Pkte 784 - AfA; Seite Achtundachtzigvierzehn (Stand vom Dienstagsvormittage) Verhandlungsdokumentation Teilband I Ausschussdrucke Heftnummer(n): 1–10 Gesetzentwurfe: SGB II Entschließungen Datum dieser Plenumssitzung: Mittwoch, den 8","constante Stimmenzahl für alle Redner in der Debatte anzeige (für das deutsche Parlament) – Stand vom Dienstag, dem 7. Februar um 9 Uhr; Änderungen seitdem berücksichtigt. | Der Bundesrat hat sich am Montag gegen diese Vorlage ausgesprochen., also wird sie jetzt auch hier abgelehnt.: Ja stimmt! Ich bin sehr froh darüber. Wir haben es gerade gehört bei Herrn Kahrs' Ausführung zur Arbeitsmarktpolitik dieser Regierungskoalition mit SPD-Vorsitzender S"
GRÜNE,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme nicht zu,[_ Continue reading below ]](https://www.okay-buzz.com) Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; denn es gibt ja immer Kritik an der Debatte über dieses Gesetzesvorhabens des Bundesministeriums für Arbeit und Soziales zur Reform des SGB II oder zum Bürgerlichen Alterssicherungsgesetzeinsatzprogramm BASIGEP - was auch will heißen sollen wir jetzt alle wissen können. Aber wenn man sich,"[_ContinueReading》] Vielen Dank für diese Möglichkeit der Auskunftnahme; ich freue mich sehr darauf! – Herr Präsident! Mein Kollege Marco Buschmann hat vorhin gesagt, wir seien in einem Land mit viel Arbeitslosigkeitsquote unterwegs gewesen oder wären es bald. Ich glaube aber auch, dass das Gegenteil stimmt; denn wenn man sich anschaut, was passiert seit dem Beginn dieser Legislaturperiode hier bei uns am Deutschen Bundestagsplatz, dann sieht man viele Menschen da draußen protestieren"
FDP,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuhörende hier in der Kuppel oder an anderen Endgeräten – ich weiß es ja gar nicht mehr genau; das war schon lange her. Ich möchte mich zunächst bei allen bedanken für diese Debatte über dieses wichtige Gesetzespaket zur Reform des Sozialstaates mit dem neuen Bürgergeldförderungsgesetz sowie zum Arbeitslosengesetz II. Es geht um einen großen Wandel hin zu einem moderneren System sozialstaatlichen Unter,[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Buschmann! Meinen Dank für das Vertrauen in mich persönlich sowie auch meiner Partei Freie Demokraten – wir bringen es aus dem Wahlprogramm mit ins Parlament; ich werde darauf eingehen können – hier heute bei der ersten Lesung des Gesetzentwurfs zum Neustrukturierenden Arbeitslosengesetze vor Ihrem Haus. Ich möchte zunächst einmal sagen: Wir haben einen sehr guten Entwurf gel
AfD,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Volksgesundheitsverbands – ich danke Ihrem Vorsitzenden für das Zitat aus dem Gesetzentwurf zur Reform der Arbeitslosengleichbehandlung; es war sehr nützlich - lieber Herr Korte, dass Sie sich dafür eingesetzt haben! Ich bin froh darüber, weil wir uns in dieser Debatte mit einem wichtigen Aspekt beschäftigt fühlen müssen, nämlich damit umgehen, was passiert bei Menschen","[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesparlamentes! Liebe Zuschauer an der Bildschirmkamera hier bei YouTube oder anderen Plattformen – ich wünsche Ihnen einen guten Tag; es freut mich sehr, dass Sie heute mit uns zusammen da sein wollen. Ich bin jetzt in meiner fünften Legislaturperiode Mitglied dieses Hauses geworden. In dieser Zeit habe ich mir immer bewusst gemacht, was das Wesen unseres Staates ausmacht sowie seine Auf"
LINKE,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum ersten Mal nach dem Sommerpause – ich freue mich darauf; das war ja auch für uns alle sehr nötig. Ich möchte mit einem kurzen Rückgang ins Jahr 2014 beginnen. Damals haben wir einen Gesetzentwurf zur Einführung des sogenannten Hartz IV vorgelegt. Wir hatten damals gesagt: Es geht darum, dass Menschen aus Armut herauskommen sollen statt weiterhin abhängiger Arbeit suchend","[inst] Frau Präsidentin! Meine Damen und Herren Kollegen! Ich möchte an dieser Stelle feststellen – das war ja auch der Grund für diese Debatte; ich habe es gerade noch einmal nachgeprüft – dass wir uns hier mit einem Gesetzentwurf befassen, über dessen Inhalt keine Auseinandersetzung möglich gewesen wäre. Es gab keinen Entschließungsantrag dazu in diesem Hause oder gar einen Vorschlag zur Änderung des SGB II aus Ihrer Seite heraus. Also kann man sich jetzt nur fragen lassen können, ob"
SPD,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"constellation-verwaltung.de"">Liebe Kolleginnen! Lieber Herr Präsident! Meinem lieben Team an der Seite in den Ausschüssen für Verkehrs-, Bau- sowie Stadtentwicklungspolitik herzlich dankeschön – das war wieder sehr erfolgreich zusammengearbeitet worden; viel Erfolg auch bei dem weiteren Verfahren zum Gesetzesentwurfsbearbeitungsprozess des Bundesverkehrswegeplangesatzes! Ich freue mich natürlichenfalls über diese Debatte heute hier am Ende dieser Sitzwoche zur Vorlage mit diesem Titel",![](/Neulandaufzug) Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren Kolleginnen und -kollegen der demokratischen Opposition – das möchte ich hier noch mal betonen; denn es geht um mehr Demut in unserem Land gegenüber den Menschen mit Behinderung oder chronisch kranken Angehörigen sowie ihren Familienangehörige*. Ich habe mich heute Morgen bei meiner ersten Sitzungswoche nach dieser Debatte gefragt: Ist diese Diskussion überhaupt notwendig angesichts des
Union,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"constellation-verlagde.pdf (PDF) – Veröffentlichungsdatum: Juli 2019; Seitenzahl(n): S. 36–47 - Google Books Resultate für ""constellations verlag"" in der Suchmaschine bei google.com Constructions of the Self and Their Implications for Psychotherapy | SpringerLink Abstract This article explores how construals or interpretive frameworks shape our understanding ourselves as well other people's behavior through their perception interpretation meaning making processes These constructivists argue that we create reality by interpreting sensory information according to","[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Scheuer – ich habe das Gefühl, Sie haben mich vergessen; aber es geht mir gut – meinen sehr verehren Damen und Herren der anderen Fraktionen herzlich zum Jahresbeginn sowie den vielen Mitarbeitern in unserem Land, ohne deren Engagement wir diese Debatte hier heute führen könnten. Wir stehen am Beginn des neuen Jahrzehnts mit großen Chancen für unsere Wirtschaft durch digitale Transformation und künstliche Intelligenziehung"
GRÜNE,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"constante_anwesend = true;
constanze_blickleiste = ""Grüne""; // oder andere Partei für deinen Fall!
function reden() {
    if (konstruktiv) return false;
    irmscherung();
}

// Funktionen zum Redner-Assistant
let konstruktiv=false;
irgendetwasWasManNichtMussBrauchenInDerPolitik(rede);
if (!rekursiveFunktion()) irgendwelcheRedenzeitRechnungen machenLassenUndAuf","constante_anwesend = true; // für den Chatbot-Assistant in der WhatsApp Gateway API aktivieren oder deaktivieren (nur bei SMS)
constanta {String} anmeldename; String password;};"" />
```css
(function() {'use strict';})();"">  
// Generelle Erklärung des Typs ""IPromiseLike"", um es mit dem Typ ""Promise like TypeScript Anywhere"" kompatibel zu machen - vgl.: https://github.com/Microsoft/TypeScript/issues/"
FDP,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"[INST) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der demokratischen Opposition – ich meide den Ausdruck „Kameraden“; das wäre ja auch falsch in dieser Situation -! Ich freue mich sehr über Ihre Anträge zur Verbesserung des Straßenverkehrsrechts sowie zum Tempo bei Pkws mit einem oder mehreren Beifahrern. Es gibt viele Punkte daran, an denen wir uns alle finden können. Wir haben bereits vor zwei Jahren einen ähnlichen Gesetzentwurf","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den demokratischen Fraktionen des Deutschen Bundestages – vor allem der CDU-Fraktion; das möchte ich gleich noch einmal betonen – liebe Zuschauerinnen und -zuschauern hier in Berlin sowie an vielen anderen Ortes dieses Landes mit Empathie verfolgen können Sie diese Debatte heute abend live oder auch am nächsten Morgen wiederholt über YouTube kennenlernerisch nachschauen lassen. Ich bin froh darüber, dass wir"
AfD,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauer an den Bildschirmen hierzuhause oder in der Öffentlichkeit draußen – ich weiß gar nicht mehr wer da noch dabei sein könnte; das wäre ja auch möglich -, wir sprechen heute über einen Gesetzentwurf zur Einführung des Tempos für alle Straßenverkehrsteile mit Ausnahme bestimmter Verkehrsgebiete sowie zum Änderungsgesetzesänderungssatz II SGB IV nach § 3 Absätze","[INST) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauer an den Bildschirmen hier bei YouTube oder anderen Plattformen – ich danke Ihnen für das Interesse am Deutschen Parlament; es freut mich sehr, dass Sie dafür Sorge tragen wollen, was wir heute diskutieren werden. Es geht um einen Gesetzentwurf der Bundesregierung zur Einführung des Tempos in Deutschland mit einem generellen Fahrverbot über 3 km pro Stunde unterhalb dem aktiven Radarbereich, also"
LINKE,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte! Ich bin froh darüber – das muss ich sagen; denn es gibt ja immer wieder Leute, denen geht's so gut bei den Ohren durch - dass wir heute über dieses wichtige Gesetz sprechen können. Es hat sich wirklich Zeit gebraucht für diese Reform des Straßenverkehrgesetztes mit dem Ziel, mehr Sicherheit beim Verkehr herzustellen. Wir haben uns dafür eingesetzt, weil viele Menschen jeden Tag unnötig ums Leben kommen",[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kolleginnen und Kollegen der demokratischen Opposition – ich meide den Begriff „Oppo“; das gehört hier sicherlich auch zur Demut dazu - Ich habe mich gefreuet über Ihre Anträge zum Tempo in Deutschland sowie für mehr Verkehrssicherheit insgesamt. Das war mir sehr wichtig angesichts des Unglücks an dieser Stelle vor wenigen Wochen mit einem Toter am Straßenrand nachdem er einen schwer beladenen Lkw abgeschüttelt hat
SPD,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der demokratischen Opposition – ich meide hier bewusste absichtliche Verwechslung mit rechten Gruppen oder Personen; das macht es für uns Sozialdemokrate nur schwerer in dieser Debatte – liebe Zuhörende aus allen Reihen des Hauses! Wir haben heute wieder einmal Gelegenheit zur Diskussion darüber, ob wir unserem Grundgesetz geradezu ins Amen singen wollen bei einem Gespräch zum Schutz asyllast",[inst] Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren Kollegen der demokratischen Opposition! Wir haben es gerade gehört – ich glaube auch in dieser Debatte mehrmals erlebt hat man das schon; aber vielleicht müssen wir uns noch mal darauf verlassen lassen – dass sich hier alles so gut angeordnet habe mit einem Gesetzentwurf zur Verbesserung des Schutzes für Flüchtlinge vor rechtsstaatlichen Missbräuchen bei Einreiseverfahren durch andere Staaten sowie zum Aussetz
Union,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,[inst] Sehr geehrte Frau Präsidentin! Meine sehr verehren Damen und Herren Kollegen der demokratischen Opposition – ich meide hier bewusste absichtliche Verwechslung mit „dem“ oder gar nur einem einzigen Mitglied dieser Gruppe; das wäre ja auch unanständig gewesen -! Ich möchte mich zunächst bei Ihnen bedanken für diese Debatte heute zum wichtigen Gesetzentwurf zur Verbesserungen des Rechtsschutzes in asylierten Angelegenheiten sowie zur Änderungsgesetze nach Artikel,[_] stimmen Sie der Vorlage zur Änderung des Aufenthaltesgesetzes (Asyldurchsetzungsverordnung) entsprechend dem vorliegenden Gesetzesentwurfs zum Schutze europäischer Außenschranken gegen illegale Einreisen aus einem Drittstaat nach Deutschland oder Österreich durch Ausweispflicht für bestimmten Personenkreis in diesem Staat um? Ja. Herr Präsident! Liebe Kollegen! Wir haben heute zwei Anträge mit ähnlichen Zielstellungen; ich habe sie gerade eben erwähnt – es geht dar
GRÜNE,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in diesem Hohen Haus – ich meide bewusste das Pronomen „Herr“ bei der AfD; es wäre ja auch falsch für Sie gewesen -! Ich möchte mich zunächst einmal dem herzlichen Willkommen widmen, dass wir heute wieder zusammenkönnen nach dieser kuriosen Woche mit Coronaquarantäne oder was sie sonstwo genannt wird. Es war wirklich sehr erstaunend, welche Auswirkungen diese Pandemie hatte,","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kolleginnen und Kollegen der demokratischen Opposition – ich meide bewusste das Schreckliche „demokratisch“ bei CDU/CSU; aber Sie können es so lesen - Ich habe noch nie erlebt oder gelesen, dass sich ausländischer Terrorismus in Deutschland durch asyllose verursacht hat. Es gibt keine einzige Quelle für diesen Satz hier heute vor mir liegen. Und wenn man dann auch sagen will, dies sei unser Land"
FDP,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuhörende hier in der Debatte heute Morgen zum Gesetzentwurf zur Verbesserung des Schutzes gegen missbräuchliche Einreise nach Deutschland durch Nichtdeutschlandstaatsangehörige – das klingt alles sehr kompliziert; aber ich werfe es jetzt gleich vorweg mit dem Komplexitätsgrad dieser Anträge für uns alle. Ich glaube auch, dass wir diese Diskussion braucht haben müssen, um sich","[Inst] Sehr geehrte Frau Präsidentin! Meinen lieben Kolleginnen und Kollegen der demokratischen Opposition! Liebe Zuhörende hier in diesem Raum oder auch draußen bei YouTube – ich bin ja froh darüber; das zeigt doch mal wieder einmal was für sich aus. Jawohl, wir haben heute dieses wichtige Gesetzgebungsverfahren vor uns mit einem sehr umfassenden Einwanderungspaket zur Beschleunigung des Verfahrens beim Schutzasyllos sowie zum Aufenthaltsrecht insgesamt. Es geht dabei insbesondere um zwei wesent"
