party,question,answer,answer_03,answer_05,answer_07
FDP,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,stimmte zu,stimmte zu,stimme nicht zu
AfD,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu
LINKE,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
SPD,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,stimmte zu,stimmte zu,stimmte zu
Union,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,stimmte zu,stimme zu,stimmte zu
FDP,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme nicht zu,stimmte zu,stimmte zu,stimmmt zu
AfD,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
LINKE,Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.,stimme zu,stimme zu,stimmte zu,stimmte zu
SPD,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
Union,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme zu,stimmte zu,stimme nicht zu,stimmmt nicht zu
GRÜNE,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
FDP,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte nicht zu
AfD,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme zu,stimmte zu,stimmte zu,stimmte zu
LINKE,An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
SPD,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,stimmte zu,stimme nicht zu,stimme zu
Union,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,stimmte zu,stimmte zu,stimmte zu
FDP,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
AfD,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
LINKE,Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.,stimme zu,stimmte zu,stimme zu,stimmte zu
SPD,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
Union,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,stimme nicht zu,stimmte zu,stimmme nicht zu
FDP,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
AfD,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme nicht zu,stimmte zu,stimmte zu,stimme zu
LINKE,Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.,stimme zu,stimmte zu,stimme zu,stimme zu
SPD,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,stimmte zu,stimmme nicht zu,stimmte zu
Union,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,stimmte zu,stimmte zu,stimmmt nicht zu
GRÜNE,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,neutral,stimmte zu,stimmte zu,stimmte zu
FDP,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,neutral,stimmte zu,stimmte zu,stimme nicht zu
AfD,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,stimmte zu,stimmte zu,stimmme nicht zu
LINKE,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
SPD,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,stimme zu,stimme zu,stimme nicht zu
Union,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,stimme nicht zu,stimmte zu,stimme zu
GRÜNE,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,stimme zu,stimme zu,stimme zu
FDP,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,stimme zu,stimme zu,stimme zu
AfD,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,neutral,stimme nicht zu,stimmte zu,stimmte zu
LINKE,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,neutral,stimme nicht zu,stimmte zu,stimmte zu
SPD,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
Union,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,stimmte zu,stimmte zu,stimmte nicht zu
GRÜNE,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
FDP,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,stimme nicht zu,stimmte zu,stimmme nicht zu
AfD,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,stimmte zu,stimmte zu,stimme nicht zu
LINKE,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte nicht zu
SPD,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme zu,stimmte zu,stimmte zu,stimme nicht zu
Union,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme zu,stimmte zu,stimmte zu,stimme zu
FDP,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
AfD,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,stimmte zu,stimmte nicht zu,stimmte zu
LINKE,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme zu,stimmte zu,stimmte zu,stimmte zu
SPD,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,stimmte zu,stimme nicht zu,stimmte zu
Union,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimmte zu
GRÜNE,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,stimme nicht zu,stimmte zu,stimme zu
FDP,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu
AfD,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu
LINKE,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,stimmte zu,stimme nicht zu,stimmte zu
SPD,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,stimme nicht zu,stimme nicht zu,stimmte zu
Union,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,stimme nicht zu,stimmte zu,stimme zu
GRÜNE,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,stimmte zu,stimmte zu,stimme zu
FDP,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,stimmte zu,stimme zu,stimme zustimmen
AfD,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,neutral,stimmte zu,stimmte zu,stimmte zu
LINKE,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
SPD,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme zu,stimme nicht zu,stimmme zu,stimmte zu
Union,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme nicht zu,stimmme nicht zu,stimmme zu,stimme nicht zu
GRÜNE,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme zu,stimmte zu,stimmme zu,stimmte zu
FDP,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme nicht zu,stimme nicht zu,stimmme zu,stimmme zu
AfD,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme nicht zu,stimmte zu,stimmme nicht zu,stimme nicht zu
LINKE,Alle Bürgerinnen und Bürger sollen in gesetzlichen Krankenkassen versichert sein müssen.,stimme zu,stimme zu,stimmte zu,stimme nicht zu
SPD,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
Union,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,stimme nicht zu,stimmte zu,stimmte zu,stimme zu
GRÜNE,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
FDP,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,neutral,stimmte zu,stimmte zu,stimme zu
AfD,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,stimme zu,stimme nicht zu,stimmte zu,stimme nicht zu
LINKE,Die gesetzliche Frauenquote in Vorständen und Aufsichtsräten börsennotierter Unternehmen soll abgeschafft werden.,stimme nicht zu,stimme nicht zu,stimmte zu,stimme zu
SPD,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,stimmte zu,stimme zu,stimme zu
Union,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,stimmte zu,stimmte zu,stimmmt nicht zu
GRÜNE,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,stimme zu,stimme zu,stimmte zu
FDP,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmme nicht zu
AfD,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
LINKE,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,stimme nicht zu,stimme zu,stimme zu
SPD,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,stimme zu,stimme zu,stimme zu
Union,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,stimmte zu,stimme zu,stimme zustimmen
GRÜNE,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,stimme zu,stimme zu,stimme zu
FDP,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,stimme zu,stimme zu,stimme zu
AfD,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
LINKE,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,stimme zu,stimme zu,stimme zu
SPD,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme zu,stimme zu,stimme nicht zu,stimme nicht zu
Union,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
GRÜNE,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme zu,stimmte zu,stimmte zu,stimme zu
FDP,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimmte zu
AfD,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,stimme nicht zu,stimmte zu,stimmte zu
LINKE,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme zu,stimmte zu,stimmte zu,stimme nicht zu
SPD,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,stimmme nicht zu,stimmte zu,stimmte zu
Union,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,stimmte zu,stimmte zu,stimme nicht zu
GRÜNE,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,stimme nicht zu,stimmte zu,stimme nicht zu
FDP,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimmte nicht zu
AfD,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,stimmte zu,stimme nicht zu,stimmte nicht zu
LINKE,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
SPD,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
Union,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,stimme zu,stimme zu,stimmte zu
GRÜNE,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
FDP,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,stimme zu,stimme zu,stimme zu
AfD,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,stimmte zu,stimmte zu,stimmte zu
LINKE,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,stimmte zu,stimmte zu,stimmmt nicht zu
SPD,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme zu,stimmte zu,stimmte zu,stimme zu
Union,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
GRÜNE,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme zu,stimme zu,stimme zu,stimme zu
FDP,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,neutral,stimmte zu,stimmte zu,stimmte zu
AfD,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme nicht zu,stimmte zu,stimmte nicht zu,stimmerein
LINKE,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme zu,stimmte zu,stimmte zu,stimme zu
SPD,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu
Union,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,stimmte zu,stimmte zu,stimmte nicht zu
GRÜNE,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
FDP,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
AfD,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme zu,stimmte zu,stimmte zu,stimmte zu
LINKE,"Deutschland soll das Ziel verwerfen, klimaneutral zu werden.",stimme nicht zu,stimme nicht zu,stimmte zu,stimmte zu
SPD,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,neutral,stimmte zu,stimme nicht zu,stimmme zu
Union,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte nicht zu
GRÜNE,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,stimmte zu,stimmte zu,stimmte nicht zu
FDP,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,stimmme nicht zu,stimmte zu,stimmte zu
AfD,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
LINKE,In Deutschland soll die 35-Stunden-Woche als gesetzliche Regelarbeitszeit für alle Beschäftigten festgelegt werden.,stimme zu,stimme nicht zu,stimme zu,stimme nicht zu
SPD,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,stimme nicht zu,stimmte zu,stimmte zu,stimmmt zu
Union,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,stimme zu,stimmte zu,stimmme nicht zu,stimmte zu
GRÜNE,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,stimme nicht zu,stimmte zu,stimmte zu,stimmte nicht zu
FDP,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,neutral,stimmte zu,stimmte zu,stimmte nicht zu
AfD,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,stimme zu,stimmte zu,stimmme zu,stimmte zu
LINKE,Schwangerschaftsabbrüche sollen in den ersten drei Monaten weiterhin nur nach Beratung straffrei sein.,stimme nicht zu,stimmte zu,stimmte zu,stimmerein
SPD,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme nicht zu,stimme nicht zu,stimmme nicht zu,stimme nicht zu
Union,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme nicht zu,stimme nicht zu,stimmme nicht zu,stimme nicht zu
GRÜNE,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme nicht zu,stimme nicht zu,stimmte zu,stimmte zu
FDP,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme nicht zu,stimmme nicht zu,stimme nicht zu,stimmte zu
AfD,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme zu,stimme nicht zu,stimme nicht zu,stimme nicht zu
LINKE,Der Euro soll in Deutschland durch eine nationale Währung ersetzt werden.,stimme nicht zu,stimme nicht zu,stimmte zu,stimmte zu
SPD,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme zu,stimme zu,stimmte zu,stimme nicht zu
Union,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme zu,stimme zu,stimme zu,stimme zu
FDP,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme nicht zu,stimme zu,stimmte zu,stimmte zu
AfD,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme nicht zu,stimmte zu,stimmte nicht zu,stimmte nicht zu
LINKE,Beim Ausbau der Verkehrsinfrastruktur soll die Schiene Vorrang vor der Straße haben.,stimme zu,stimmte zu,stimme zu,stimme zu
SPD,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,stimme nicht zu,stimmte zu,stimme zu,stimme nicht zu
Union,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimmte zu
GRÜNE,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,stimme zu,stimme zu,stimme zu,stimme zu
FDP,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,stimme nicht zu,stimmte zu,stimme zu,stimme zu
AfD,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,stimme nicht zu,stimmte zu,stimme nicht zu,stimme nicht zu
LINKE,Ehrenamtliche Tätigkeiten sollen auf die zukünftige Rente angerechnet werden.,neutral,stimme zu,stimme zu,stimmte zu
SPD,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
Union,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,stimme zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimme zu
FDP,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,stimme zu,stimmte zu,stimmte zu,stimmte zu
AfD,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,neutral,stimmte zu,stimmte zu,stimmte zu
LINKE,Die Grundsteuer soll weiterhin auf Mieterinnen und Mieter umgelegt werden dürfen.,stimme nicht zu,stimmte zu,stimmte zu,stimmte zu
SPD,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,stimme nicht zu,stimmme nicht zu,stimmte zu,stimmmt nicht zu
Union,Das Streikrecht für Beschäftigte in Unternehmen der kritischen Infrastruktur soll gesetzlich eingeschränkt werden.,neutral,stimmte zu,stimmte zu,stimmte zu
